State,Federal Funding,State & Local Funding
Alaska,"$3,343 ","$16,899 "
North Dakota,"$2,876 ","$15,169 "
Montana,"$2,829 ","$12,148 "
Maine,"$2,680 ","$17,574 "
South Dakota,"$2,641 ","$10,895 "
Vermont,"$2,592 ","$23,068 "
Wyoming,"$2,512 ","$18,201 "
California,"$2,485 ","$15,398 "
Mississippi,"$2,322 ","$9,734 "
Kentucky,"$2,254 ","$12,050 "
West Virginia,"$2,167 ","$13,199 "
Hawaii,"$2,142 ","$16,578 "
Louisiana,"$2,119 ","$12,042 "
Arkansas,"$2,023 ","$10,462 "
Michigan,"$1,996 ","$13,373 "
Alabama,"$1,963 ","$10,916 "
New Mexico,"$1,907 ","$12,280 "
District of Columbia,"$1,874 ","$16,851 "
Rhode Island,"$1,869 ","$17,873 "
Colorado,"$1,781 ","$13,093 "
Pennsylvania,"$1,754 ","$18,760 "
Tennessee,"$1,740 ","$10,369 "
Missouri,"$1,720 ","$12,843 "
Illinois,"$1,711 ","$20,036 "
Georgia,"$1,699 ","$12,417 "
South Carolina,"$1,698 ","$12,831 "
Iowa,"$1,696 ","$13,838 "
Florida,"$1,681 ","$10,442 "
Arizona,"$1,637 ","$7,599 "
Texas,"$1,619 ","$11,144 "
Oklahoma,"$1,556 ","$8,942 "
Washington,"$1,549 ","$17,419 "
Minnesota,"$1,545 ","$14,947 "
Idaho,"$1,504 ","$7,964 "
Nebraska,"$1,480 ","$13,732 "
New Hampshire,"$1,477 ","$19,369 "
Ohio,"$1,453 ","$14,269 "
Oregon,"$1,428 ","$15,604 "
Kansas,"$1,414 ","$13,906 "
Virginia,"$1,399 ","$14,021 "
New York,"$1,398 ","$29,271 "
Wisconsin,"$1,384 ","$14,590 "
Maryland,"$1,379 ","$18,371 "
Delaware,"$1,350 ","$16,346 "
North Carolina,"$1,324 ","$9,212 "
Connecticut,"$1,313 ","$23,002 "
Massachusetts,"$1,293 ","$21,034 "
Nevada,"$1,289 ","$9,644 "
New Jersey,"$1,280 ","$23,701 "
Indiana,"$1,154 ","$12,369 "
Utah,$922 ,"$8,542 "
