,average_act
4625,20.2014652014652
52,26.2332112332112
4978,21.0
2135,28.6
6121,18.9
984,17.1
5982,20.5921855921856
6539,19.8107448107448
7975,20.1
3311,20.6
6281,18.6
4977,24.0
3758,22.2283272283272
3721,23.8644688644689
7311,17.5152625152625
5521,21.0561660561661
6715,23.009768009768
5547,25.1587301587302
6151,16.7
5277,22.0
2021,17.9
7795,24.4
6351,21.6422466422466
6561,16.5873015873016
3870,17.954822954823
360,19.0781440781441
4246,19.6398046398046
5158,23.0
6995,18.003663003663
6415,17.2954822954823
216,21.3003663003663
1733,20.3553113553114
4538,20.3968253968254
373,20.8363858363858
5488,20.6898656898657
2857,19.3
1904,15.8
947,20.0
6394,20.006105006105
5299,22.0
505,15.0488400488401
77,20.8608058608059
2426,20.3479853479853
81,23.0586080586081
4524,19.9328449328449
4075,20.4456654456654
7136,20.982905982906
6522,19.7374847374847
3939,25.4761904761905
273,21.984126984127
2129,19.8
7419,21.5689865689866
4277,17.3199023199023
4236,19.029304029304
66,18.8339438339438
1649,22.8852258852259
3751,18.8827838827839
7700,23.0
5361,19.0
598,13.8278388278388
5480,21.2271062271062
5122,20.0
370,22.4236874236874
420,21.6910866910867
1749,18.5457875457875
5388,15.0488400488401
4503,23.0830280830281
722,17.7594627594628
1171,20.1
6509,21.5934065934066
3555,21.3492063492064
1244,22.0
316,21.5445665445665
3133,16.0
7594,23.9
6770,18.4920634920635
3724,25.01221001221
4219,21.5689865689866
3299,21.0
2322,25.01221001221
7429,21.1294261294261
5188,20.0
2730,23.3
341,15.8791208791209
2290,25.5738705738706
7391,20.5433455433455
1284,24.9
2816,16.7
1572,21.04884004884
7278,17.4420024420024
2884,20.8
7002,22.5702075702076
7946,23.0
3827,19.4444444444444
5915,21.3492063492064
4952,20.0
6791,15.1465201465201
5826,22.0818070818071
3829,22.9365079365079
1555,22.035409035409
7411,18.7606837606838
7538,24.3040293040293
3621,22.9120879120879
5156,24.0
5571,22.5946275946276
3802,27.4542124542125
4869,22.0
6738,23.7423687423687
6205,18.2
7607,25.7
2935,21.4
2386,19.2979242979243
4407,18.1501831501831
1108,23.6
1995,19.7
4542,22.2283272283272
898,19.4
4126,14.5604395604396
3992,16.6849816849817
1349,21.0
6340,20.006105006105
2067,19.5
3327,22.8
7838,23.7
620,20.8363858363858
3187,24.3
3707,20.7142857142857
6124,17.4
4252,16.8559218559219
6041,16.0
2764,19.4
1814,18.3
4598,20.6166056166056
2165,21.6
6650,19.5665445665446
4858,20.0
6278,20.4
2789,18.3
3208,20.0
2368,25.6471306471306
6595,15.1221001221001
4338,21.959706959707
2018,24.9
1677,21.0830280830281
4627,22.1306471306471
4728,25.0
3885,20.9096459096459
6189,18.5
1762,20.1135531135531
4455,18.6630036630037
5551,23.986568986569
4653,25.0610500610501
7635,23.5
2526,22.1306471306471
3470,22.0
73,19.957264957265
647,23.7179487179487
5824,15.02442002442
6690,25.4029304029304
4963,23.0
1882,19.5
6496,21.1050061050061
5645,24.035409035409
6983,22.9365079365079
390,21.6666666666667
4143,22.4481074481074
4794,16.0
3237,25.2
1909,17.8
3646,17.954822954823
160,18.1746031746032
3551,23.9377289377289
3387,22.1
5770,21.6178266178266
3056,12.5
6118,17.4
628,15.3907203907204
1112,20.0
2455,21.1050061050061
5691,22.960927960928
3918,15.7081807081807
1084,19.5
6126,20.4
3638,21.8131868131868
5296,23.0
843,20.4456654456654
618,16.4896214896215
5909,18.1013431013431
1187,18.2
7953,19.8
4410,22.3260073260073
1543,20.4798534798535
786,18.8583638583639
7845,19.0
7061,18.3943833943834
6934,22.3260073260073
3782,15.5616605616606
2472,19.8107448107448
6513,18.5653235653236
1094,23.3
6682,19.3711843711844
6734,21.2271062271062
4438,23.9133089133089
1518,19.9255189255189
5062,24.0
97,20.8852258852259
1276,21.8
5206,22.0
3005,18.6
5358,22.0
2499,24.1819291819292
980,18.7
3645,23.7423687423687
3943,17.6617826617827
1531,19.7692307692308
2424,15.02442002442
6048,18.9
458,20.4700854700855
5393,17.1001221001221
5559,20.2258852258852
5378,21.0
1783,19.7472527472527
5386,22.0
5013,23.0
6088,18.0
3574,20.3235653235653
1424,22.0
4821,25.0
2767,19.4
3705,23.9133089133089
7833,19.6
5334,21.0
3261,20.4
3634,20.9096459096459
3633,20.2258852258852
6454,20.6410256410256
4292,21.4957264957265
3644,22.960927960928
4530,24.2307692307692
3196,20.2
2846,17.0
3107,19.1
3912,32.3626373626374
1396,16.6
5984,21.4957264957265
92,21.1782661782662
516,18.1746031746032
6207,17.7
