,average_act
5529,21.1782661782662
5392,14.6825396825397
2797,18.2
6617,19.2735042735043
2210,19.2
258,20.3724053724054
2655,19.8
2372,20.5433455433455
1280,22.7
7452,19.5665445665446
5316,21.0
7246,17.9059829059829
6792,22.2527472527473
5396,16.2942612942613
4227,24.96336996337
3346,21.2
2767,19.4
7816,23.6
5761,20.6654456654457
2568,18.2
2430,28.2356532356532
7041,19.6153846153846
3002,19.9
436,21.3247863247863
3045,23.3
5013,23.0
2021,17.9
5222,22.0
3125,19.7
7367,22.008547008547
2409,22.008547008547
1547,18.997557997558
4132,16.9047619047619
4290,17.8083028083028
6343,18.980463980464
4799,20.0
4523,19.3956043956044
7081,25.4761904761905
4370,18.956043956044
5368,18.0
949,17.7
2443,21.8376068376068
7105,22.1062271062271
2894,20.0
743,17.9059829059829
1996,19.9
4051,15.6349206349206
7955,20.2
134,18.2967032967033
2058,16.7
7095,21.3003663003663
2445,23.2295482295482
5358,22.0
6786,16.8803418803419
3577,20.2503052503052
935,17.3
4002,15.5372405372405
516,18.1746031746032
6020,14.4
2117,16.6
6290,19.6
6811,14.2185592185592
1181,18.9
3945,15.8302808302808
1005,17.0
5985,21.8376068376068
7361,19.3223443223443
456,19.2490842490842
1755,21.9157509157509
5885,22.5213675213675
5383,23.0
6481,19.6153846153846
5790,20.4945054945055
1402,20.6
3843,21.7399267399267
7189,25.2075702075702
2915,19.5
2567,18.3
7817,22.2
3585,19.7374847374847
6455,19.957264957265
6814,16.0989010989011
1145,21.9
2975,23.0
7142,16.8315018315018
2314,25.2808302808303
1481,22.982905982906
1531,19.7692307692308
2826,19.3
1838,18.5
5166,20.0
6373,21.6178266178266
5642,20.8119658119658
4410,22.3260073260073
7192,23.2783882783883
6459,21.6666666666667
1730,20.2625152625153
5989,21.5201465201465
3654,16.7826617826618
1161,20.9
5387,16.3675213675214
4919,23.0
7034,18.1257631257631
3160,19.5
2053,20.5
3697,24.3772893772894
1020,22.4
7080,24.2307692307692
5813,18.028083028083
6392,18.4676434676435
6692,23.6446886446886
7347,22.960927960928
5428,15.5372405372405
5715,24.8656898656899
453,23.2783882783883
777,16.6361416361416
5872,18.8339438339438
4495,18.6874236874237
3088,22.4
1725,21.6764346764347
4225,17.1489621489621
7096,23.0586080586081
2999,19.5
6001,13.5
1646,22.5409035409035
6139,19.2
1387,20.0
5335,21.0
6637,20.3724053724054
2550,21.1782661782662
7627,21.5
4916,18.0
2130,17.6
769,17.2466422466422
1816,19.8
2581,18.6
891,18.5
4643,23.6691086691087
4130,18.2722832722833
3911,23.5470085470085
5139,22.0
3556,18.2722832722833
7692,23.4
5852,20.3479853479853
4353,19.1025641025641
5975,21.8131868131868
7778,14.0
6322,16.6361416361416
5660,22.1062271062271
3046,22.6
3482,17.2
146,21.3980463980464
2211,18.2
4771,20.0
7062,20.4212454212454
2686,21.6
2449,24.7680097680098
4780,16.0
3316,20.7
5433,14.5604395604396
7415,22.5946275946276
4824,20.0
576,24.035409035409
1341,17.9
1609,19.5299145299145
4060,14.3894993894994
247,21.959706959707
973,20.5
7338,21.1050061050061
899,19.1
2607,18.8
1844,18.8
5713,19.3711843711844
2391,23.8156288156288
5705,22.032967032967
6621,19.8351648351648
4426,20.4456654456654
4889,21.0
6876,22.4236874236874
4013,16.8559218559219
5347,21.0
3850,23.3028083028083
6019,13.9
4371,21.8620268620269
5601,21.0805860805861
3085,19.8
6270,19.0
1499,20.6605616605617
5981,17.1978021978022
3888,17.7106227106227
1854,20.3
1165,20.2
3288,21.6
6977,20.1770451770452
7727,22.6
6976,16.978021978022
1031,17.9
7388,23.5225885225885
7429,21.1294261294261
2496,21.1538461538462
7126,21.2515262515263
220,21.4468864468864
4834,23.0
6631,18.4432234432234
7309,22.3015873015873
7751,24.9
1899,18.6
7922,19.1
6331,15.8302808302808
3921,18.003663003663
7691,23.3
7649,22.5
6359,24.2796092796093
6023,14.9
2956,20.1
269,18.6141636141636
2456,21.1050061050061
5071,22.0
6432,22.2771672771673
2467,25.7203907203907
2174,19.1
2165,21.6
2566,21.9
1586,21.4371184371184
7633,20.6
7303,23.6202686202686
1600,21.5274725274725
2034,18.9
4194,17.4175824175824
2970,18.7
546,22.5213675213675
835,16.2210012210012
6577,23.3760683760684
689,22.6678876678877
7503,22.8632478632479
3331,21.1
6628,20.4456654456654
599,20.8852258852259
